>Ver, 2.01, DATE, 2022-07-10, TIME,17,55,52,Qmax, 6.9, Tpeak, 7.1, Ttotal, 21.7,  Volscale, 105, Volvisual, 105, Calib, 39
 13.5,  61.1,  61.1,   4.2
 13.6,  61.6,  61.6,   4.1
 13.7,  61.8,  61.8,   4.0
 13.8,  62.3,  62.3,   3.9
 13.9,  62.7,  62.7,   3.9
 14.0,  63.1,  63.1,   4.0
 14.1,  63.5,  63.5,   4.0
 14.2,  63.9,  63.9,   4.2
 14.3,  64.3,  64.3,   4.2
 14.4,  64.7,  64.7,   4.3
 14.5,  65.0,  65.0,   4.3
 14.6,  65.7,  65.7,   4.2
 14.7,  66.2,  66.2,   4.3
 14.8,  66.5,  66.5,   4.3
 14.9,  66.8,  66.8,   4.2
 15.0,  67.3,  67.3,   4.1
 15.1,  67.5,  67.5,   3.8
 15.2,  68.4,  68.4,   3.7
 15.3,  68.6,  68.6,   3.8
 15.4,  68.8,  68.8,   3.7
 15.5,  69.2,  69.2,   3.6
 15.6,  69.3,  69.3,   3.6
 15.7,  69.9,  69.9,   3.5
 15.8,  70.4,  70.4,   3.8
 15.9,  70.7,  70.7,   4.0
 16.0,  70.9,  70.9,   4.0
 16.1,  71.4,  71.4,   3.9
 16.2,  71.7,  71.7,   3.7
 16.3,  72.5,  72.5,   3.4
 16.4,  72.8,  72.8,   3.6
 16.5,  72.9,  72.9,   3.8
 16.6,  73.1,  73.1,   3.9
 16.7,  73.4,  73.4,   4.0
 16.8,  73.6,  73.6,   3.9
 16.9,  74.8,  74.8,   3.9
 17.0,  75.3,  75.3,   3.9
 17.1,  75.5,  75.5,   3.6
 17.2,  75.6,  75.6,   3.3
 17.3,  75.9,  75.9,   3.1
 17.4,  76.1,  76.1,   3.0
 17.5,  76.3,  76.3,   3.1
 17.6,  76.7,  76.7,   3.3
 17.7,  77.3,  77.3,   3.5
 17.8,  77.6,  77.6,   3.6
 17.9,  77.9,  77.9,   3.5
 18.0,  78.2,  78.2,   3.3
 18.1,  78.7,  78.7,   3.3
